sid,shares
5347,1879567550.0
2303,12576984870.0
8358,252588000.0
1303,7930821589.0
1802,2908060800.0
1815,585479487.0
5340,194893964.0
2383,358321114.0
6274,288813387.0
6213,363562218.0
3037,1641322596.0
3189,526915760.0
8046,646165487.0
4958,1070598156.0
8027,109993094.0
2467,156755348.0
6640,28517500.0
6664,60806570.0
3485,38500850.0
7795,78828500.0
4768,47487969.0
6983,18020000.0
7828,40493911.0
3481,7989197337.0
3167,89185209.0
3044,525605898.0
6191,499303000.0
2368,517016714.0
2313,1191820589.0
3715,283574584.0
2316,182740536.0
5469,486166000.0
8155,60604614.0
3008,130798197.0
3363,113640567.0
4979,142359284.0
4977,80189841.0
3163,80540741.0
3665,195078405.0
6442,80450155.0
3081,92517277.0
2455,184905918.0
3105,423940384.0
2345,561117897.0
2404,190586698.0
6139,235575724.0
5536,124080930.0
6196,220329529.0
6944,76687912.0
6667,49278878.0
7703,34745000.0
3711,4470572282.0
2449,1222745065.0
6239,759146634.0
6257,483912325.0
6147,744593539.0
3264,490170076.0
2441,568845921.0
6515,36038042.0
6510,32789022.0
6223,97981309.0
2308,2597543329.0
2301,2316107763.0
3211,154374021.0
6761,34955867.0
6781,85418780.0
4931,65565761.0
1519,315880844.0
1513,503112515.0
1503,520972223.0
1514,273108473.0
2327,2071465484.0
3090,287567150.0
6173,171200000.0
3026,165890318.0
2492,485204774.0
3357,114936971.0
8042,129462549.0
6449,91886014.0
6127,108079751.0
2375,108675334.0
8043,79907170.0
2478,144731339.0
3236,105000613.0
2360,425245742.0
7769,179930000.0
6187,98193024.0
3131,29589484.0
7822,45560763.0
5443,164746644.0
3583,80346080.0
1560,149617480.0
3680,96041481.0
3563,63960858.0
3455,59850750.0
6937,67655263.0
6727,26884177.0
7556,27325742.0
5425,263485486.0
8261,118878393.0
2481,382114927.0
3675,53057923.0
6411,99497331.0
2351,182140249.0
6548,950464700.0
5285,102040926.0
6415,388948107.0
8081,86172072.0
6138,75635500.0
2408,3098627894.0
2344,4500000193.0
3006,297285758.0
8299,221085747.0
2337,1981308820.0
5289,96337417.0
6770,4710019546.0
6531,162846540.0
2451,431345675.0
3260,317234048.0
8112,525291698.0
4967,84963288.0
3653,146732803.0
3017,392543007.0
8996,93387429.0
3324,93076837.0
2367,706253175.0
3491,68805125.0
6285,483663719.0
2485,317689037.0
3605,174697441.0
6197,122085882.0
6913,43848863.0
3689,89390991.0
6290,169474550.0
3533,112534691.0
3217,90104203.0
3376,195763822.0
3548,67744175.0
1582,144268604.0
6805,68553896.0
2059,95297072.0
4772,147681552.0
4749,92732865.0
5234,102715911.0
2317,14028648626.0
6669,185840791.0
2382,3862627432.0
3231,3180412250.0
6215,82789693.0
4576,119801848.0
1590,199999998.0
2049,353792240.0
1597,89261804.0
1527,138570640.0
1536,278959513.0
3406,112743063.0
3362,147445475.0
5439,92976751.0
3661,86204722.0
3596,220354321.0
5388,304342542.0
4968,92209898.0
2454,1603895407.0
3443,134011911.0
3529,74686492.0
6643,42090160.0
3035,260550313.0
5483,641221651.0
6488,478113725.0
3532,387848300.0
3645,136754207.0
3714,737940460.0
6854,117678622.0
2634,941867101.0
5371,390981110.0
8033,164629775.0
5222,91094968.0
2630,209438204.0
6753,117253224.0
2208,1274539449.0
2645,374570962.0
2881,14007364952.0
2882,14669210128.0
2884,16192000000.0
2887,24866399230.0
2892,14379468650.0
2834,9718061849.0
2812,6021625921.0
6890,249400000.0
9802,200991673.0
6768,200095061.0
